word,index
PAD,0
SOS,1
EOS,2
a,3
child,4
in,5
pink,6
dress,7
is,8
climbing,9
up,10
set,11
of,12
stairs,13
an,14
entry,15
way,16
.,17
girl,18
going,19
into,20
wooden,21
building,22
little,23
playhouse,24
the,25
to,26
her,27
cabin,28
black,29
dog,30
and,31
spotted,32
are,33
fighting,34
tri-colored,35
playing,36
with,37
each,38
other,39
on,40
road,41
white,42
brown,43
spots,44
staring,45
at,46
street,47
two,48
dogs,49
different,50
breeds,51
looking,52
pavement,53
moving,54
toward,55
covered,56
paint,57
sits,58
front,59
painted,60
rainbow,61
hands,62
bowl,63
sitting,64
large,65
small,66
grass,67
plays,68
fingerpaints,69
canvas,70
it,71
there,72
pigtails,73
painting,74
young,75
outside,76
man,77
lays,78
bench,79
while,80
his,81
by,82
him,83
which,84
also,85
tied,86
sleeping,87
next,88
shirtless,89
lies,90
park,91
laying,92
holding,93
leash,94
ground,95
orange,96
hat,97
starring,98
something,99
wears,100
glasses,101
gauges,102
wearing,103
blitz,104
beer,105
can,106
crocheted,107
pierced,108
ears,109
rope,110
net,111
red,112
roping,113
climbs,114
bridge,115
grips,116
onto,117
ropes,118
playground,119
running,120
grassy,121
garden,122
surrounded,123
fence,124
through,125
boston,126
terrier,127
lush,128
green,129
runs,130
near,131
shakes,132
its,133
head,134
shore,135
",",136
ball,137
,138
edge,139
beach,140
feet,141
stands,142
shaking,143
off,144
wate,145
water,146
standing,147
turned,148
one,149
side,150
boy,151
smiles,152
stony,153
wall,154
city,155
overalls,156
working,157
stone,158
aross,159
walking,160
paved,161
metal,162
pole,163
behind,164
smiling,165
shirt,166
blue,167
jeans,168
rock,169
leaps,170
over,171
log,172
grey,173
leaping,174
fallen,175
tree,176
mottled,177
collar,178
jumping,179
jumped,180
stump,181
snow,182
field,183
surface,184
displaying,185
pictures,186
skier,187
skis,188
past,189
another,190
paintings,191
person,192
framed,193
looks,194
trees,195
artwork,196
for,197
sale,198
collage,199
cliff,200
group,201
people,202
belays,203
seven,204
climbers,205
ascending,206
face,207
whilst,208
several,209
row,210
watches,211
holds,212
line,213
chases,214
from,215
sprinkler,216
lawn,217
hose,218
away,219
prepares,220
catch,221
thrown,222
object,223
nearby,224
cars,225
about,226
yellow,227
mouth,228
toy,229
ready,230
flying,231
air,232
after,233
get,234
jumps,235
towards,236
trying,237
midair,238
woman,239
waters,240
big,241
lake,242
lone,243
duck,244
swimming,245
around,246
watching,247
waves,248
hand,249
facing,250
skyline,251
couple,252
infant,253
being,254
held,255
male,256
pond,257
stroller,258
sit,259
baby,260
their,261
newborn,262
under,263
care,264
along,265
body,266
outdoors,267
surf,268
lab,269
tags,270
frolicks,271
splashes,272
this,273
splashing,274
drilling,275
hole,276
ice,277
frozen,278
men,279
fishing,280
play,281
making,282
turn,283
soft,284
sand,285
together,286
tan,287
sandy,288
uses,289
picks,290
crampons,291
scale,292
climber,293
jacket,294
pants,295
scaling,296
waterfall,297
carries,298
as,299
he,300
walks,301
carrying,302
has,303
item,304
wet,305
kayak,306
life,307
jackets,308
rowing,309
canoe,310
gentle,311
ride,312
courtyard,313
catching,314
snaps,315
lunges,316
chocolate,317
too,318
late,319
captures,320
driveway,321
stick,322
kneeling,323
goalie,324
hockey,325
guarding,326
goal,327
kid,328
rink,329
right,330
crouches,331
modern,332
art,333
structure,334
glass,335
reads,336
newspaper,337
sculpture,338
office,339
statue,340
backpack,341
buildings,342
reading,343
tent,344
enter,345
setting,346
hut,347
iced,348
tarp,349
snowy,350
three,351
hill,352
sky,353
them,354
stand,355
kneels,356
skyscraper,357
very,358
tall,359
distance,360
camera,361
bites,362
hard,363
treat,364
biting,365
baked,366
good,367
putting,368
both,369
eats,370
food,371
table,372
eating,373
pizza,374
tin,375
dish,376
mountainside,377
check,378
out,379
view,380
hilltop,381
overlooking,382
valley,383
hang,384
top,385
overlook,386
rest,387
ledge,388
above,389
moutains,390
down,391
many,392
inflatable,393
boats,394
kayakers,395
railing,396
rafts,397
below,398
crowd,399
jersey,400
pose,401
some,402
multiracial,403
posing,404
picture,405
asian,406
blond,407
background,408
guy,409
striped,410
takeout,411
television,412
floor,413
fast,414
meal,415
someone,416
tv,417
teens,418
rail,419
crowded,420
takes,421
jump,422
skateboard,423
performing,424
trick,425
leans,426
skateboarder,427
doing,428
board,429
platform,430
skateboarders,431
paddling,432
river,433
seen,434
kayaking,435
paddles,436
boat,437
paddle,438
shallow,439
girls,440
ocean,441
four,442
children,443
pajamas,444
have,445
pillow,446
fight,447
kids,448
pillow-fight,449
bed,450
having,451
constructions,452
workers,453
beam,454
taking,455
break,456
construction,457
i-beam,458
take,459
seat,460
steel,461
boys,462
puddle,463
balloon,464
mud,465
sunny,466
day,467
appears,468
wait,469
hailing,470
taxi,471
signaling,472
traffic,473
blonde,474
hair,475
tube,476
waving,477
arm,478
oncoming,479
brochure,480
train,481
rides,482
magizine,483
book,484
pamphlet,485
rocky,486
run,487
across,488
stones,489
area,490
descends,491
end,492
high,493
diving,494
pool,495
dive,496
window,497
overshirt,498
tank,499
chrome,500
door,501
puts,502
elevator,503
light-colored,504
light,505
swim,506
shorts,507
trunks,508
arms,509
outstretched,510
hiker,511
bluff,512
mountains,513
ski,514
's,515
landscape,516
snow-covered,517
mountain,518
beautiful,519
pauses,520
mountaintop,521
attempting,522
purple,523
low,524
cut,525
yard,526
frisbee,527
parking,528
lot,529
middle,530
during,531
heavy,532
mat,533
between,534
suv,535
